,created_at,forks_count,full_name,id,name,owner,updated_at
10,2019-04-18T23:43:08Z,0,peteravery/python-variables-lab-data-science-intro-000,182171662,python-variables-lab-data-science-intro-000,"{'login': 'peteravery', 'id': 41191090, 'node_id': 'MDQ6VXNlcjQxMTkxMDkw', 'avatar_url': 'https://avatars0.githubusercontent.com/u/41191090?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/peteravery', 'html_url': 'https://github.com/peteravery', 'followers_url': 'https://api.github.com/users/peteravery/followers', 'following_url': 'https://api.github.com/users/peteravery/following{/other_user}', 'gists_url': 'https://api.github.com/users/peteravery/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/peteravery/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/peteravery/subscriptions', 'organizations_url': 'https://api.github.com/users/peteravery/orgs', 'repos_url': 'https://api.github.com/users/peteravery/repos', 'events_url': 'https://api.github.com/users/peteravery/events{/privacy}', 'received_events_url': 'https://api.github.com/users/peteravery/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T23:43:10Z
11,2019-04-18T22:25:50Z,0,beebae23/python-variables-lab-data-science-intro-000,182165380,python-variables-lab-data-science-intro-000,"{'login': 'beebae23', 'id': 49767223, 'node_id': 'MDQ6VXNlcjQ5NzY3MjIz', 'avatar_url': 'https://avatars2.githubusercontent.com/u/49767223?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/beebae23', 'html_url': 'https://github.com/beebae23', 'followers_url': 'https://api.github.com/users/beebae23/followers', 'following_url': 'https://api.github.com/users/beebae23/following{/other_user}', 'gists_url': 'https://api.github.com/users/beebae23/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/beebae23/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/beebae23/subscriptions', 'organizations_url': 'https://api.github.com/users/beebae23/orgs', 'repos_url': 'https://api.github.com/users/beebae23/repos', 'events_url': 'https://api.github.com/users/beebae23/events{/privacy}', 'received_events_url': 'https://api.github.com/users/beebae23/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T22:25:52Z
12,2019-04-18T20:44:12Z,0,AronBerke/python-variables-lab-data-science-intro-000,182154963,python-variables-lab-data-science-intro-000,"{'login': 'AronBerke', 'id': 49766566, 'node_id': 'MDQ6VXNlcjQ5NzY2NTY2', 'avatar_url': 'https://avatars0.githubusercontent.com/u/49766566?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/AronBerke', 'html_url': 'https://github.com/AronBerke', 'followers_url': 'https://api.github.com/users/AronBerke/followers', 'following_url': 'https://api.github.com/users/AronBerke/following{/other_user}', 'gists_url': 'https://api.github.com/users/AronBerke/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/AronBerke/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/AronBerke/subscriptions', 'organizations_url': 'https://api.github.com/users/AronBerke/orgs', 'repos_url': 'https://api.github.com/users/AronBerke/repos', 'events_url': 'https://api.github.com/users/AronBerke/events{/privacy}', 'received_events_url': 'https://api.github.com/users/AronBerke/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T20:44:14Z
13,2019-04-18T20:32:53Z,0,jofrecio/python-variables-lab-data-science-intro-000,182153580,python-variables-lab-data-science-intro-000,"{'login': 'jofrecio', 'id': 49736914, 'node_id': 'MDQ6VXNlcjQ5NzM2OTE0', 'avatar_url': 'https://avatars3.githubusercontent.com/u/49736914?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jofrecio', 'html_url': 'https://github.com/jofrecio', 'followers_url': 'https://api.github.com/users/jofrecio/followers', 'following_url': 'https://api.github.com/users/jofrecio/following{/other_user}', 'gists_url': 'https://api.github.com/users/jofrecio/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jofrecio/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jofrecio/subscriptions', 'organizations_url': 'https://api.github.com/users/jofrecio/orgs', 'repos_url': 'https://api.github.com/users/jofrecio/repos', 'events_url': 'https://api.github.com/users/jofrecio/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jofrecio/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T20:32:55Z
14,2019-04-18T20:13:49Z,0,JennMilton/python-variables-lab-data-science-intro-000,182151327,python-variables-lab-data-science-intro-000,"{'login': 'JennMilton', 'id': 37881260, 'node_id': 'MDQ6VXNlcjM3ODgxMjYw', 'avatar_url': 'https://avatars1.githubusercontent.com/u/37881260?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/JennMilton', 'html_url': 'https://github.com/JennMilton', 'followers_url': 'https://api.github.com/users/JennMilton/followers', 'following_url': 'https://api.github.com/users/JennMilton/following{/other_user}', 'gists_url': 'https://api.github.com/users/JennMilton/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/JennMilton/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/JennMilton/subscriptions', 'organizations_url': 'https://api.github.com/users/JennMilton/orgs', 'repos_url': 'https://api.github.com/users/JennMilton/repos', 'events_url': 'https://api.github.com/users/JennMilton/events{/privacy}', 'received_events_url': 'https://api.github.com/users/JennMilton/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T20:13:51Z
15,2019-04-18T19:16:20Z,0,slspringfield/python-variables-lab-data-science-intro-000,182144290,python-variables-lab-data-science-intro-000,"{'login': 'slspringfield', 'id': 49756093, 'node_id': 'MDQ6VXNlcjQ5NzU2MDkz', 'avatar_url': 'https://avatars3.githubusercontent.com/u/49756093?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/slspringfield', 'html_url': 'https://github.com/slspringfield', 'followers_url': 'https://api.github.com/users/slspringfield/followers', 'following_url': 'https://api.github.com/users/slspringfield/following{/other_user}', 'gists_url': 'https://api.github.com/users/slspringfield/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/slspringfield/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/slspringfield/subscriptions', 'organizations_url': 'https://api.github.com/users/slspringfield/orgs', 'repos_url': 'https://api.github.com/users/slspringfield/repos', 'events_url': 'https://api.github.com/users/slspringfield/events{/privacy}', 'received_events_url': 'https://api.github.com/users/slspringfield/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T19:16:22Z
16,2019-04-18T18:51:42Z,0,bdoneske/python-variables-lab-data-science-intro-000,182141131,python-variables-lab-data-science-intro-000,"{'login': 'bdoneske', 'id': 9206477, 'node_id': 'MDQ6VXNlcjkyMDY0Nzc=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/9206477?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/bdoneske', 'html_url': 'https://github.com/bdoneske', 'followers_url': 'https://api.github.com/users/bdoneske/followers', 'following_url': 'https://api.github.com/users/bdoneske/following{/other_user}', 'gists_url': 'https://api.github.com/users/bdoneske/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/bdoneske/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/bdoneske/subscriptions', 'organizations_url': 'https://api.github.com/users/bdoneske/orgs', 'repos_url': 'https://api.github.com/users/bdoneske/repos', 'events_url': 'https://api.github.com/users/bdoneske/events{/privacy}', 'received_events_url': 'https://api.github.com/users/bdoneske/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T18:51:45Z
17,2019-04-18T18:06:47Z,0,housejkh/python-variables-lab-data-science-intro-000,182135217,python-variables-lab-data-science-intro-000,"{'login': 'housejkh', 'id': 49730207, 'node_id': 'MDQ6VXNlcjQ5NzMwMjA3', 'avatar_url': 'https://avatars3.githubusercontent.com/u/49730207?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/housejkh', 'html_url': 'https://github.com/housejkh', 'followers_url': 'https://api.github.com/users/housejkh/followers', 'following_url': 'https://api.github.com/users/housejkh/following{/other_user}', 'gists_url': 'https://api.github.com/users/housejkh/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/housejkh/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/housejkh/subscriptions', 'organizations_url': 'https://api.github.com/users/housejkh/orgs', 'repos_url': 'https://api.github.com/users/housejkh/repos', 'events_url': 'https://api.github.com/users/housejkh/events{/privacy}', 'received_events_url': 'https://api.github.com/users/housejkh/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T18:06:49Z
18,2019-04-18T16:59:54Z,0,buddymcphee/python-variables-lab-data-science-intro-000,182126103,python-variables-lab-data-science-intro-000,"{'login': 'buddymcphee', 'id': 49761619, 'node_id': 'MDQ6VXNlcjQ5NzYxNjE5', 'avatar_url': 'https://avatars1.githubusercontent.com/u/49761619?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/buddymcphee', 'html_url': 'https://github.com/buddymcphee', 'followers_url': 'https://api.github.com/users/buddymcphee/followers', 'following_url': 'https://api.github.com/users/buddymcphee/following{/other_user}', 'gists_url': 'https://api.github.com/users/buddymcphee/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/buddymcphee/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/buddymcphee/subscriptions', 'organizations_url': 'https://api.github.com/users/buddymcphee/orgs', 'repos_url': 'https://api.github.com/users/buddymcphee/repos', 'events_url': 'https://api.github.com/users/buddymcphee/events{/privacy}', 'received_events_url': 'https://api.github.com/users/buddymcphee/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T16:59:56Z
19,2019-04-18T16:09:31Z,0,KGharib/python-variables-lab-data-science-intro-000,182119113,python-variables-lab-data-science-intro-000,"{'login': 'KGharib', 'id': 42519632, 'node_id': 'MDQ6VXNlcjQyNTE5NjMy', 'avatar_url': 'https://avatars2.githubusercontent.com/u/42519632?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/KGharib', 'html_url': 'https://github.com/KGharib', 'followers_url': 'https://api.github.com/users/KGharib/followers', 'following_url': 'https://api.github.com/users/KGharib/following{/other_user}', 'gists_url': 'https://api.github.com/users/KGharib/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/KGharib/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/KGharib/subscriptions', 'organizations_url': 'https://api.github.com/users/KGharib/orgs', 'repos_url': 'https://api.github.com/users/KGharib/repos', 'events_url': 'https://api.github.com/users/KGharib/events{/privacy}', 'received_events_url': 'https://api.github.com/users/KGharib/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T16:09:34Z
20,2019-04-18T14:07:57Z,0,amkabia/python-variables-lab-data-science-intro-000,182099299,python-variables-lab-data-science-intro-000,"{'login': 'amkabia', 'id': 49657940, 'node_id': 'MDQ6VXNlcjQ5NjU3OTQw', 'avatar_url': 'https://avatars2.githubusercontent.com/u/49657940?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/amkabia', 'html_url': 'https://github.com/amkabia', 'followers_url': 'https://api.github.com/users/amkabia/followers', 'following_url': 'https://api.github.com/users/amkabia/following{/other_user}', 'gists_url': 'https://api.github.com/users/amkabia/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/amkabia/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/amkabia/subscriptions', 'organizations_url': 'https://api.github.com/users/amkabia/orgs', 'repos_url': 'https://api.github.com/users/amkabia/repos', 'events_url': 'https://api.github.com/users/amkabia/events{/privacy}', 'received_events_url': 'https://api.github.com/users/amkabia/received_events', 'type': 'User', 'site_admin': False}",2019-04-18T14:07:59Z
